item	verdict	kind	connected	confidence	comment
mcp2k-398191-p004	NO	HALO	YES	2	red band co-located with green trajectory in z-y, offset only in drift view
mcp1k-402880-p023	NO	HALO	YES	2	diffuse red scatter along whole green track inside wide degenerate blob patch
mcp1k-351639-p039	YES	TRACK	YES	2	long dense track terminating exactly at the tiny candidate cluster, no green on it
mcp1k-351639-p022	YES	TRACK	YES	2	dense unheld clump forming head of a track ~6 cm below candidate grey points
mcp2k-347824-p059	NO	CROSSING-TRACK	YES	2	long straight track crosses vertex and continues far both sides, cosmic-like
mcp2k-75862-p906	NO	HALO	YES	3	red segment sits directly on the green trajectory in all three views
mcp1k-169620-p908	NO	HALO	YES	3	mid-track segment lying exactly on the green trajectory in all views
mcp2k-395717-p017	UNSURE	SHOWER	YES	2	triangular red bundle ~25 cm off green line but embedded in degenerate blob lattice
mcp1k-290052-p048	NO	CROSSING-TRACK	YES	3	full-height track y=+200 to -195 passing through vertex, through-going cosmic
mcp1k-286681-p015	YES	TRACK	YES	2	red band runs ~40 cm left from vertex above the green arms, unheld and coherent
mcp1k-282231-p909	NO	HALO	YES	3	mid-segment of the main trajectory, on the grey/green track in all views
mcp1k-401516-p036	YES	TRACK	YES	2	long straight unheld track from vertex running ~380 cm down-left, ends inside
mcp2k-396323-p011	NO	HALO	YES	2	striped ghost-point wedge left of the green arm, ambiguity pattern not a prong
mcp2k-322707-p018	NO	HALO	YES	2	upper half of a diamond ghost lattice around a horizontal green track
mcp1k-321107-p008	NO	HALO	YES	2	lower half of the shallow track's own wide charge band, green line through it
mcp2k-70472-p000	NO	HALO	YES	2	red band hugs the long vertical green track over its whole length
mcp2k-157215-p029	YES	TRACK	YES	2	coherent 16 cm vertical point line continuing the candidate grey segment, nothing held
mcp2k-68308-p032	NO	CROSSING-TRACK	YES	3	full-height track y=+200 to -200 passing the vertex both sides, cosmic
mcp2k-75052-p010	NO	HALO	YES	2	upper half of a parallelogram ghost lattice along a shallow green track
mcp2k-100728-p025	UNSURE	TRACK	UNSURE	2	lozenge patch of shallow band ~5 cm above small candidate blobs, continues left
mcp1k-71222-p902	NO	HALO	YES	3	terminal ~15 cm of the same track, directly on the grey/green trajectory
mcp2k-179912-p900	NO	HALO	YES	3	mid-segment of the vertical track lying inside its own charge band
mcp2k-49742-p046	NO	CROSSING-TRACK	YES	3	300 cm straight track crossing the vertex, continues both sides to detector bottom
mcp2k-75206-p007	NO	HALO	YES	2	lower half of a long shallow track's ghost parallelogram, green line along it
