ev	seg	pdg	traj	topo	pdg11	long_muon	len_cm	med_dqdx_mip	straight	verdict	note
166870	10074	2212	1	0	0	0	20.18	1.914	1	UNL	85045 should be an EM shower, part of pi0 ...
166870	10013	11	0	0	1	0	8.29	0.605	0	UNL	85045 should be an EM shower, part of pi0 ...
169356	16009	11	0	0	1	0	3.49	0.857	0	UNL	
169626	22034	11	1	0	1	0	28.75	1.194	0	UNL	
172942	4002	11	0	0	1	0	33.49	1.808	0	UNL	wrong nu vertex give up
174752	48010	11	1	0	1	0	3.77	0.864	0	NOLAB_EVT	wrong nu vertex, give up
278794	7002	13	0	0	0	1	22.58	1.016	1	UNL	
347129	53021	11	1	0	1	0	10.36	0.53	0	UNL	
394532	39021	11	1	0	1	0	0.34	1.511	0	NOLAB_EVT	nu vertex likely wrong
394532	39034	11	1	0	1	0	8.15	0.909	0	NOLAB_EVT	nu vertex likely wrong
165157	62049	11	1	0	1	0	15.27	0.931	0	NOLAB_EVT	nu vertex not likely correct
176502	109119	11	0	1	1	0	19.91	1.472	0	UNL	Significant EM shower overclustering, not sure if one can improve ... not easily
176502	109298	11	0	0	1	0	30.66	1.213	1	UNL	Significant EM shower overclustering, not sure if one can improve ... not easily
176502	109299	11	1	0	1	0	13.15	1.235	0	UNL	Significant EM shower overclustering, not sure if one can improve ... not easily
281165	16006	13	0	0	0	1	12.63	1.155	1	UNL	
281567	95129	11	0	0	1	0	9.01	1.962	0	UNL	nu vertex is wrong ... , 95128 has an overclustering issue of a EM shower isolat
281567	95225	11	1	0	1	0	21.2	0.987	0	UNL	nu vertex is wrong ... , 95128 has an overclustering issue of a EM shower isolat
281567	95227	11	1	0	1	0	27.33	1.127	0	UNL	nu vertex is wrong ... , 95128 has an overclustering issue of a EM shower isolat
282909	4079	11	0	0	1	0	1.36	0.433	0	UNL	
282909	4082	11	1	0	1	0	4.85	1.055	0	UNL	
282909	4084	11	0	0	1	0	19.18	1.094	1	UNL	
