event	sample	origin	bucket	pi0	tags	gain_ratio	in_merge	in_orphan	in_unowned	in_noop	out_mem	out_other	seed_out	n_showers_touched	sel_shower	has_pio	n_cands	vertex_how	vertex_dist	mass_axis	mass_vertex	reco_pio_mass	flags	confidence	verdict	note	manifest_note	why
388	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	23028	False	0									pretty good.		scanner wrote 'pretty good.' and made no correction
10550	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									OK		scanner wrote 'OK' and made no correction
18625	ncpi0	ncpi0	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	126059	False	0									good		scanner wrote 'good' and made no correction
21073	ncpi0	ncpi0	1 under-clustered	3 pi0, vertex usable	tail | merge | absorb-orphan	0.184	6	1	0	0	0	0		1	63100	True	0	main_vertex	0.0	201.8	218.5	207.3						pi0 anchored on the reco main vertex | 7 IN mark(s), none OUT
30504	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect nu vertex		vertex complaint, no correction attempted: 'incorrect nu vertex'
37112	ncpi0	ncpi0	scanned, no clustering correction	-	no-marks	0.000	0	0	0	0	0	0		0	84074	False	0										no pi0???	no note and no marks
38856	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect vertex		vertex complaint, no correction attempted: 'incorrect vertex'
42280	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	8021	False	0									very good		scanner wrote 'very good' and made no correction
46363	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	19079	False	0									very good		scanner wrote 'very good' and made no correction
47212	mcp2k	ncpi0	2 over-clustered	3 pi0, vertex usable	seed-out | split-by-proxy | multi-shower | start-moved	0.000	0	0	0	0	1	1	2103	2	70038	True	2	manual	3.5	131.4	132.8	764.5						pi0 anchored on the reco main vertex, re-placed by hand only 3.5 cm away -- a confirmation | 2 OUT mark(s), none IN
52672	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0	25020	False	0									incorrect vertex		vertex complaint, no correction attempted: 'incorrect vertex'
54095	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	17137	False	0									very good.		scanner wrote 'very good.' and made no correction
54332	mcp2k	ncpi0	2 over-clustered	4 pi0, vertex not usable	tail | seed-out | merge | absorb-orphan | multi-shower | vertex-suspect | start-moved	1.800	11	6	0	0	1	0	16014	2	120071	True	2	manual	67.9	147.1	111.9	133.7				overclustering a track ... 16014, also nu vertex is wrong ...		pi0 vertex placed by hand 68 cm off the main vertex | note names over-clustering: 'overclustering a track ... 16014, also nu vertex is wrong ...'
56982	ncpi0	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect nu vertex		vertex complaint, no correction attempted: 'incorrect nu vertex'
64591	mcp1k	ncpi0	1 under-clustered	4 pi0, vertex not usable	tail | absorb-orphan	0.059	0	1	0	0	0	0		1	78025	True	1	manual	177.0	174.0	149.6	149.6			correct			pi0 vertex placed by hand 177 cm off the main vertex | 1 IN mark(s), none OUT
69314	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	3014	False	0									OK		scanner wrote 'OK' and made no correction
71372	ncpi0	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	97140	True	1	main_vertex	0.0	140.0	139.2	136.3						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
74544	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	12085	False	0									good		scanner wrote 'good' and made no correction
76346	mcp2k	ncpi0	1+2 both	4 pi0, vertex not usable	stub | seed-out | merge | absorb-orphan | multi-shower | start-moved	5.000	9	7	0	0	4	0	40030	2	40030	True	1	backproject	58.5	40.8	40.8	158.1	no_vertex_ncpi0					scanner set the no_vertex_ncpi0 flag | 16 IN and 4 OUT marks that are not no-ops
76350	mcp2k	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | hard | no-marks	0.000	0	0	0	0	0	0		0		False	0									wrong nu vertex, give up		vertex complaint, no correction attempted: 'wrong nu vertex, give up'
81597	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	19009	False	0									good		scanner wrote 'good' and made no correction
84229	ncpi0	ncpi0	2 over-clustered	-	tail | absorb-orphan	0.020	0	1	0	7	0	0		1	69134	False	0									69134 overclustered another gamma in (segment of 69150 and connected pieces)	pi0 two gamma merged …	note names over-clustering: '69134 overclustered another gamma in (segment of 69150 and connected pieces)' | NOTE OVERRIDES MARKS: 1 IN mark(s) and no OUT, but the note says the fix is separation
90055	nuecc48	nuecc	good (no major change)	-	pid | no-marks | note-conflict	0.000	0	0	0	0	0	0		0	11033	False	0									good	shower stem got ided as proton	scanner wrote 'good' and made no correction
99838	mcp2k	ncpi0	scanned, no clustering correction	3 pi0, vertex usable	no-marks	0.000	0	0	0	0	0	0		0	58038	True	1	main_vertex	0.0	112.0	125.8	125.8						pi0 anchored on the reco main vertex | no note and no marks; a pi0 was built
105946	ncpi0	ncpi0	1 under-clustered	3 pi0, vertex usable	stub | merge | absorb-orphan | multi-shower | start-moved	0.667	4	3	0	1	0	0		2	56056	True	1	main_vertex	0.0	226.3	133.8	105.8						pi0 anchored on the reco main vertex | 7 IN mark(s), none OUT
111412	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect vertex.		vertex complaint, no correction attempted: 'incorrect vertex.'
114446	ncpi0	ncpi0	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									not clear nu vertex		vertex complaint, no correction attempted: 'not clear nu vertex'
116962	nuecc48	nuecc	vertex-bad (not actionable)	-	vertex-suspect | no-marks	0.000	0	0	0	0	0	0		0		False	0									incorrect vertex		vertex complaint, no correction attempted: 'incorrect vertex'
122660	nuecc48	nuecc	1 under-clustered	-	tail | merge | absorb-orphan	0.270	8	2	0	0	0	0		1	9110	False	0											10 IN mark(s), none OUT
131357	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0		False	0									good		scanner wrote 'good' and made no correction
137238	nuecc48	nuecc	good (no major change)	-	no-marks	0.000	0	0	0	0	0	0		0	143056	False	0									OK		scanner wrote 'OK' and made no correction
