event	main_id	verdict	quality	conf	reason
62459	10	nu	cosmic-like	med	the only face reached is the top wall (y=200.1) and the fit's exit_L=4.6 cm puts its rr=0 charge peak (~170 ke/cm, with the dense red spray at y=182-200) 4.6 cm from that same wall -- a muon cannot stop at the wall it entered, so that peak is entry-region charge, not a Bragg; the far end runs 200 cm at flat 50-56 ke/cm (1.02 MIP leftover) and terminates 8 cm short of the anode at (193,66,463) = truncated
62473	12	nu	unclear	low	17 cm hook hugging the anode: x only -201 to -193 while dz=17 cm, so the anode contact is grazing, not a traverse; only 38 fit points with dQ/dx scattered 34-185 ke/cm whose maximum sits at rr=7 cm and points at rr<2 span 34-117 ke/cm -- no clean Bragg, so I disagree with the STM tag
62495	16	nu	unclear	low	evidence missing: the grab rendered the wrong row (panel says "row has no main cluster", grp 8 t=1.005 us), bbox.n=0, no zoom png, no dQ/dx curve -- nothing on which to establish a boundary entry, so it stays a nu candidate by default
62613	17	STM	clean	med	301 cm track crossing the upstream wall at (183,-130,z=-0.2) and ending at (198,104,160), 3.4 cm from the anode but running nearly parallel to it (dx=15.6 cm total) so that end is a stop, not an exit; dQ/dx follows the green curve from 165 ke/cm at rr=0 out to 30 cm and is flat MIP beyond -- I read the single 242 ke/cm end point as a delta/Michel, not the "proton end" the tagger rejected on
48301	13	STM	clean	high	single 130 cm track entering the upstream wall at z=2.3 (X-Z touches the z=0.85 line), textbook Bragg riding the green curve to 165-190 ke/cm at rr=0 (ks1=0.010), and a charge spray at the stopping end (-94,-69,93) = Michel candidate
62943	24	STM	clean	high	crosses the anode at x=-200.9 and travels 70 cm across in x, stopping at (-130,-33,235) far from every wall; dQ/dx hugs the green curve from ~130 ke/cm at rr=0 down to the MIP line at 60 cm
62979	11	STM	clean	high	crosses the anode at x=201.2 (past the 201.05 face) with 118 cm of travel across x, stops at (83,108,446) deep inside; dQ/dx rises on the green curve to ~170 ke/cm at rr=0, flat 50-56 ke/cm beyond 40 cm
63097	1	nu	junk	high	a single 1 cm blob of 14 drawn points at (-4,100,86) beside the cathode plus two stray grey specks; no track, no dQ/dx (no steiner_pc), flash PE 155 -- nothing to judge, so it stays a nu candidate
48367	19	nu	cosmic-like	high	enters the bottom wall at y=-199.1 and the dQ/dx stays flat 45-60 ke/cm right down to rr=0 (green expects 165 ke/cm), so the upper end at (-163,-91,172) is truncated rather than stopped; the parallel red bands to the +x side are merge fragments, not prongs
63163	6	nu	clean	med	horizontal beam-aligned track (dy=11 cm over 199 cm) exiting the downstream wall at z=500.3, so a -z-going cosmic entry there is implausible; the interior end at (93,113,330) carries only a ~3 cm high-charge stub (1.74 MIP, points at 165-180 ke/cm) = vertex/proton stub, not a muon Bragg -- agree with the tagger's "proton end" but for the beam-direction reason
63493	15	nu	junk	high	one 3.5 cm blob of 28 drawn points at (17,-26,250) with 4 fragments in the bundle and a stray grey diagonal; no track, no dQ/dx (no steiner_pc), flash PE 252 -- unjudgeable, stays a nu candidate
63515	1	STM	clean	high	82 cm near-horizontal track crossing the upstream wall at z=0.8 (X-Z touches the z=0.85 line at x=-183) and stopping at (-192,-145,82); dQ/dx rides the green curve from 165-185 ke/cm at rr=0 out to 60 cm (ks1=0.013) with a charge spray near the stopping end -- a beam-direction stopping muon, not a cosmic, but STM all the same
63559	11	nu	cosmic-like	high	crosses the top wall at y=200.0 (past the FV line) at (163,200,224) and the far end at (185,128,84) just stops mid-detector; dQ/dx is flat 45-56 ke/cm to rr=0 with the last points at 15-30 ke/cm and no approach to the 165 ke/cm green curve, so that end is truncated -- the tagger's "proton end"/PASS eval is meaningless here
63603	13	nu	unclear	low	drift-parallel bundle (dx=108 cm vs dy=22, dz=42) whose dQ/dx sits 2-3x above the muon curve over the whole last 50 cm and reaches 265 ke/cm at rr=0 -- not a muon Bragg; there is a cathode join gap at x=0, a top-wall touch at y=198.3 and a Y branch at (42,180,150), and dQ/dx is unreliable for drift-parallel tracks
63669	5	nu	weak	med	near-horizontal beam-aligned track (dy=9 cm over 196 cm) reaching the downstream wall at z=498; dQ/dx is flat 45-60 ke/cm from rr=10 out to 180 cm with only a 2-point bump to 130 ke/cm at rr<1, so the interior end at (-86,122,334) is not a Bragg stop; single featureless track, no vertex prongs
63947	11	nu	junk	high	only 10 drawn points in a 1 cm blob at (72,-23,218) while the main claims 51.6 cm/30 pts (0.6 pts/cm) with the rest sparse grey dots; no dQ/dx (no steiner_pc), flash PE 726 -- nothing physical to judge
48895	17	nu	cosmic-like	high	the STM tag is wrong: dQ/dx stays flat 50-56 ke/cm right down to rr=0 (last points 20-28 ke/cm), no Bragg; the lower end crosses the bottom wall y=-199.7 and the upper end at (-165,-159,185) simply stops mid-detector = truncated (owner's own comment on this bundle: "Not STM")
64409	8	nu	unclear	low	dQ/dx panel is pathological -- the fit dives to -80 ke/cm between rr=10 and 55 and the data scatter 30-135 ke/cm with no clean Bragg; topology is a 17 cm prong touching the top wall y=200 at (82,200,325) plus a 130 cm arm to (33,106,433) and a broad red merge-fragment band at y~135
64475	23	STM	clean	high	crosses the anode at x=-201.4 and travels 78 cm across in x, stopping at (-123,-153,26) with extra charge (Michel candidate) at that end; dQ/dx rides the green curve from ~165 ke/cm (one 245 ke/cm point) at rr=0 down to the MIP line by 40 cm
64591	17	nu	unclear	low	enters the upstream wall at (-64,-38,2), runs 180 cm beam-aligned to a sharp ~40 deg kink at (-100,-24,178), then a 45 cm arm to (-138,-36,203); dQ/dx flat 50-60 ke/cm to rr=0 (no Bragg, nothing stopped) and the panel has a pathological -65 ke/cm excursion near rr=40 -- 1 MIP on both sides of the kink reads like two merged tracks
64613	3	nu	junk	high	only 10 drawn points in a 1 cm blob at (-78,1,41) against a claimed 59 cm/29 pts main (0.5 pts/cm); no dQ/dx (no steiner_pc) -- nothing physical to judge
51865	11	nu	junk	high	19 drawn points in a 1.3 cm blob at (19,-124,347) plus ~30 sparse grey dots along a diagonal; the main claims 87 cm from 109 pts (1.2 pts/cm) in 6 fragments and there is no steiner_pc/dQ/dx -- not one physical object
64959	19	nu	cosmic-like	high	enters at the upstream-wall/top-wall corner (16,197,z=-0.2) and the dQ/dx is flat 47-60 ke/cm right down to rr=0 with no approach to the green 165 ke/cm, so the interior end at (57,137,48) is truncated rather than a Bragg stop
65018	2	nu	junk	high	13 drawn points in a 1 cm blob at (-62,28,92) with only grey specks ~12 cm away; claimed main 28.5 cm/19 pts, no dQ/dx (no steiner_pc) -- nothing physical to judge
65025	16	nu	cosmic-like	med	crosses the bottom wall at y=-198.9 (39,-199,398) and runs 51 cm up to (49,-173,424); dQ/dx sits at or below the 56 ke/cm MIP line the whole way with the last points at 12-30 ke/cm, i.e. no Bragg -- the upper end is truncated
65053	6	nu	unclear	low	dQ/dx is broken here: it dives to ~0-5 ke/cm at rr=10-13 and rr=27 and is only ~55 ke/cm (MIP) at rr<2, so no Bragg can be established; geometry is an anode entry at x=-201.4 (with the last 8 cm running flat along the anode at y=86) down to a dense hook at (-140,42,295)-(-147,32,280)
65053	9	nu	cosmic-like	med	flat 45-62 ke/cm right to rr=0, no Bragg; one end crosses the upstream wall at z=1.3 and the other stops 1.3 cm from the cathode x=0 at (1.3,-136,45) -- an un-joined cathode crossing, so the track is truncated rather than stopped
65267	15	nu	weak	low	an 11 cm dense stub from (-77,-192,436) to (-69,-198,440) whose low end is 1.6 cm from the bottom wall; only 15 fit points, dQ/dx is one 113 ke/cm point at rr=0 and then flat ~50 ke/cm, well below the green curve -- no Bragg and too short to say more
65295	13	nu	cosmic-like	high	crosses the downstream wall at z=500.3 while running 4-7 cm from and parallel to the anode (dx=4.4 cm over 70 cm); dQ/dx is flat 47-65 ke/cm right to rr=0 with no rise toward the green 165 ke/cm, so the interior end at (196,-32,448) is truncated
50787	6	nu	clean	high	vertex at (126,-104,497) just inside the downstream wall: a 3.4 cm stub toward the wall plus a 47 cm prong that runs PARALLEL to the wall (only 6 cm of z travel), so the wall contact is grazing and not an entry; dQ/dx does Bragg to 175 ke/cm at rr=0, i.e. it stopped inside = contained + kinked, not STM
