png	verdict	confidence	object	reason
mcp1k_281639.png	same	2	other-nu	Identical candidate charge, vertex and light match in both rows (pred ~10.5k vs ~22k PE, same underprediction); particle lists differ only by one small pion (pi6 vs pi7+pi5), no visible red pieces.
mcp2k_410566.png	same	2	unclear	Same small proton-like candidate near the cathode at z~90 with identical vertex and PMT match; each row adds one different far isolated red speck (A at z~440,x~-180; B at z~350,x~-160), equally bad.
mcp2k_281985.png	B	2	numuCC	Same charge and light match (tpc1 ~3.9k meas vs 3.5k pred) in both; A puts the vertex at the bottom end of the vertical track (y~25) so the forward shower hangs off the far end, B puts it at the junction (y~75) where the vertical muon and the forward piece meet, the common origin.
mcp1k_65053.png	unclear	1	numuCC	Same forward muon track and vertex region; A adds far unrelated red specks near z~140 (y~-185) and a few extra small particles, but A's predicted light is closer to measured (13.2k vs 9.4k of 20.2k PE); conflicting cues.
mcp2k_390743.png	A	2	numuCC	Bright in-time tpc0 flash (15k PE, upstream PMTs) is 'no match' in B, whose candidate is only a tiny edge piece at z~0,y~145 (e63); A matches the flash to a real upstream interaction at z~20,x~-50,y~-95 with mu+protons (still underpredicted 3.4k, and it keeps the unrelated tiny top piece).
mcp2k_71642.png	A	1	unclear	Identical charge, vertex and light; only PID differs: A labels the long curving track from the vertex as mu213, B calls it pi225 and has no muon; the track looks like the longest MIP from the vertex, so A is the better numuCC description, though the event is shower-heavy.
mcp1k_68428.png	B	3	numuCC	A has NO CANDIDATE and its flash list lacks the bright in-time tpc0 flash; B matches a 14.7k PE tpc0 flash (pred 13.2k, ticks follow bars) to a long forward track starting near y~-192 at z~290 and ending inside at z~465; a couple of far red specks are minor.
mcp2k_165060.png	B	3	cosmic	A's candidate is a straight vertical track running from the top (y=+200) to the bottom (y~-190) with the vertex at the bottom end, i.e. a through-going cosmic, over-predicted (36.7k vs 22.9k PE) plus scattered far specks; B correctly has no candidate.
mcp1k_174422.png	B	1	unclear	The same short downward track is placed at different x (A: x 0-110 starting at the cathode, as mu321; B: x 90-200 reaching the anode, no candidate); B's placement matches the tpc1 light (8.2k pred vs 8.6k) while A over-predicts (12.0k vs 8.6k), so the track is more likely a boundary-touching cosmic.
mcp2k_497399.png	B	2	unclear	Same blue candidate (short track z~100, y 160->85) and same flash match in both rows; A puts the vertex far from the candidate charge (z~245, y~-163, near the cathode) with an empty zoom, while B's vertex is at the track end. Big under-prediction (8.7k vs 31k PE) in both, so the object itself is doubtful.
mcp2k_275385.png	B	2	numuCC	Same single straight track (z 320->460) and same flash match; A splits it into mu125 plus a shower-like segment along the straight track, B reconstructs it as one mu367 track, which fits the uniform straight MIP.
mcp1k_62459.png	A	1	cosmic	Same main candidate (track starting at y~197 at the top face and going down, likely a top-entering cosmic in both rows); B also adds red far-away specks at z~5, x~-10, y~-95 that are unrelated to the track, so A is cleaner. Both are probably the same cosmic.
mcp1k_284211.png	B	2	numuCC	Same near-vertical track at z~450-470; A adds two far red specks (x~60 and x~140) and puts the vertex at the end of the short stub, calling the long track e10. B puts the vertex at the kink/common origin with p182 + mu337, which is more physical.
mcp2k_67868.png	A	2	numuCC	Same multi-prong interaction and vertex; A IDs a mu257 track while B calls it pi268 (no muon), and B adds red specks far away (z~50-100, y~-150) that are unrelated. A is better for numuCC.
mcp1k_170792.png	B	1	unclear	Nearly identical candidate, vertex and PID near the top (y~176); A adds an unrelated red blob far away (z~210, x~35, y~33). Otherwise the same.
